,Factory Name,Address,Country,Total Number of Workers,Men,Women,Total Men Percentage,Total Women Percentage,Total Employee
98,Shanta Denims Limited,"Plot No 156 177-179 DEPZ Extension Area Ganakbari Savar Dhaka Dhaka1349",Bangladesh,2682,1505.0,1177.0,(56.1)%,(43.9)%,2682.0
99,Soorty Textiles BD Limited,Plot No 220 227 Old Airport Area Comllia Comllia 3500,Bangladesh,4847,1988.0,2859.0,(41.0)%,(59.0)%,4847.0
100,Southeast Sweaters Limited,278 A Dobadia Uttarkhan Uttara Dhaka Dhaka 1230,Bangladesh,1816,1163.0,653.0,(64.0)%,(36.0)%,1816.0
101,Southern Clothings Ltd,Tayebpur Zirobo Ashulia Savar Dhaka Dhaka 1341,Bangladesh,1831,1066.0,765.0,(58.2)%,(41.8)%,1831.0
102,SP Garments Ltd,Shirirchala Mahona Vobanipur Gazipur Gazipur 1700,Bangladesh,2924,1486.0,1438.0,(50.8)%,(49.2)%,2924.0
103,SQ Celsius LTD,Beraiderchala Maona Sreepur Gazipur Gazipur 1740,Bangladesh,3201,1887.0,1314.0,(59.0)%,(41.0)%,3201.0
104,Sublime Greentex Ltd,Gilarchala Sreepur Gazipur Gazipur 1740,Bangladesh,2558,1330.0,1228.0,(52.0)%,(48.0)%,2558.0
105,Surma Garments Ltd,Aicha Noadda Rajashon Road Savar Dhaka Dhaka 1340,Bangladesh,1816,775.0,1041.0,(42.7)%,(57.3)%,1816.0
106,T Design Knitwear Limited,Boherarchala Sreepur Gazipur Gazipur 1740,Bangladesh,2893,1977.0,916.0,(68.3)%,(31.7)%,2893.0
107,Tarasima Apparels Ltd,Golara PO Kaitta PS Saturia Manikgonj Manikgonj 1810,Bangladesh,8920,2943.0,5977.0,(33.0)%,(67.0)%,8920.0
108,Target Fine Wear Industries,"Alludin Chowdhury Tower Outpara Chandona Chowrasta Joydevpur GazipurGazipur 1702",Bangladesh,915,604.0,311.0,(66.0)%,(34.0)%,915.0
109,"Textown Ltd and Ornate Knit GarmentIndustries Ltd",Dewan Idris Road Bara Rangamatia Ashulia Savar Dhaka Dhaka 1342,Bangladesh,3760,2274.0,1486.0,(60.5)%,(39.5)%,3760.0
110,The Shanin Corporation Ltd,12 1 Hossain Uddin Khan 1st Lane Lalbagh Dhaka Dhaka 1211,Bangladesh,1271,422.0,849.0,(33.2)%,(66.8)%,1271.0
111,Total Fashion,Kamtal Barpara P S Narayangonj Narayangonj 1400,Bangladesh,1277,695.0,582.0,(54.4)%,(45.6)%,1277.0
112,Triple Apparels Limited,Kewa Sreepur Gazipur Gazipur 1740,Bangladesh,2989,1037.0,1952.0,(34.7)%,(65.3)%,2989.0
113,Tropical Knitex Ltd,Chandra Pollibiddut Kaliakoir Gazipur Gazipur 1751,Bangladesh,6839,3932.0,2907.0,(57.5)%,(42.5)%,6839.0
114,Trouser Line Ltd,"Ghoshbag Itkhola Bus stand Toyerbpur Earpur Ashulia Savar Dhaka Dhaka1341",Bangladesh,1504,692.0,812.0,(46.0)%,(54.0)%,1504.0
115,Trust Knit Wear Industries Ltd,Indarpur Road Bhabanipur Gazipur sador Gazipur Gazipur 1740,Bangladesh,2123,1205.0,918.0,(56.8)%,(43.2)%,2123.0
116,Ultimate Fashions Limited,South Gouripur Ashulia Savar Dhaka Dhaka 1341,Bangladesh,1961,934.0,1027.0,(47.6)%,(52.4)%,1961.0
117,Universal Menswear Ltd,Plot 234 238 254 258 Adamjee EPZ Narayangonj Narayangonj 1431,Bangladesh,5444,741.0,4703.0,(13.6)%,(86.4)%,5444.0
118,Vancot Limited,Plot No 18 20 Sector 3 KEPZ North Patenga Chittagong Chittagong 4204,Bangladesh,1575,485.0,1090.0,(30.8)%,(69.2)%,1575.0
119,Victoria Intimate Ltd,Dakkhin Vangnahati Boiragirchale Sreepur Gazipur Gazipur 1740,Bangladesh,2449,1453.0,996.0,(59.3)%,(40.7)%,2449.0
120,Z&Z Intimates Ltd,Plot 1 3 Road 02 Factory Bay Area CEPZ Chittagong Chittagong 4223,Bangladesh,4396,588.0,3808.0,(13.4)%,(86.6)%,4396.0
121,Z-3 Composite Knitwear Limited,62 Kathagara Ashulia Savar Dhaka Dhaka 1341,Bangladesh,1057,270.0,787.0,(25.5)%,(74.5)%,1057.0
122,8 Star Sportswear Ltd,"Lot 0176 Damnak Thom Village S K Stoeung Mean Chey Khan Mean CheyPhnom Penh 120604",Cambodia,962,110.0,852.0,(11.4)%,(88.6)%,962.0
123,Callisto Apparel Co Ltd,"Street Phum Sre Reach Sangkat Somrongkrom Khan Posenchey Phnom PenhPhnom Penh 120901",Cambodia,1577,222.0,1355.0,(14.1)%,(85.9)%,1577.0
124,Cheng Shi Xin Manufacturing Company Limited,"Road No 122 Samraong Phnom Touch Village Sophy Commune Bati DistrictKhan Meanchey Phnom Penh Takeo 210811",Cambodia,691,366.0,325.0,(53.0)%,(47.0)%,691.0
125,Chun Xue Cashmere Textile Co Ltd,"National Road 21 Phum Prek Bek Khum Koh Thom B Srok Koh Thom Kandal80405",Cambodia,851,107.0,744.0,(12.6)%,(87.4)%,851.0
126,Dongdu Textile Co Ltd,"Building 16 17 National Road No 3 Sangkat Kraing Pongror Khan DangkorPhnom Penh 120505",Cambodia,1574,235.0,1339.0,(14.9)%,(85.1)%,1574.0
127,Fashiontex Apparel Co Ltd,Village No 3 Svay Rolom Commune Saang District Kandal 80913,Cambodia,1082,136.0,946.0,(12.6)%,(87.4)%,1082.0
128,General Enterprise Garment,"Phum Trapeang Barkou Trapeng Veng Village Kandal Steoung District Kandal80317",Cambodia,5056,1439.0,3617.0,(28.5)%,(71.5)%,5056.0
129,Harmony Apparel Co Ltd,"Chamkar Ovleuk village Sangkat Kakab Khan Posenchey Phnom Penh PhnomPenh 120912",Cambodia,815,200.0,615.0,(24.5)%,(75.5)%,815.0
130,Humble Apparel Manufacturing Co Ltd,"Dom Nak Thom Village Veng Sreng Street Sangkat Stung Meanchey KhanMeanchey Phnom Penh Phnom Penh 120604",Cambodia,810,97.0,713.0,(12.0)%,(88.0)%,810.0
131,Jie Wei Garment Factory Limited,"No 12 Tropang Thleong Dongkor Veng Sreng Street Sangkat Cham ChaoKhan Dangkor Phnom Penh 120909",Cambodia,1013,230.0,783.0,(22.7)%,(77.3)%,1013.0
132,MT Yehs Garment Co Ltd,"Phum Trie Trung Mon Street Sangkat Stung Mean Chey Khan Mean CheyPhnom Penh 120603",Cambodia,491,147.0,344.0,(29.9)%,(70.1)%,491.0
133,New Focus Apparel Co Ltd,"Block H National Road 4 Phum Tropang Krosang Beak Chan CommuneAngsnoul Kandal 80101",Cambodia,473,121.0,352.0,(25.6)%,(74.4)%,473.0
134,Orient Hongye Knitting Co Ltd,"Phum domnakthom 3 Sangkat steng meanchey Khan meanchey Phnom penhPhnom Penh 12604",Cambodia,707,187.0,520.0,(26.4)%,(73.6)%,707.0
135,Samil Cambo Co Ltd,"Phlauv Lum Phum Banlar Sa Et Sangkat Khmoung Khan Sensok Phnom Penh120803",Cambodia,642,120.0,522.0,(18.7)%,(81.3)%,642.0
136,Sew Good Garment,"Kul Village Sangkat Kantaok Khan Pousenchey Phnom Penh Phnom Penh120906",Cambodia,891,345.0,546.0,(38.7)%,(61.3)%,891.0
137,Textstar Garment Co Ltd,"Russey Village Steung Meanchey Commune Meanchey District Phnom PenhPhnom Penh 120604",Cambodia,292,71.0,221.0,(24.3)%,(75.7)%,292.0
138,Amelia Knight Hangzhou Cosmetics,"Building 3&4 No 528 Shunfeng Road Qianjiang Economy Development AreaHangzhou Zhejiang 311106",China,319,82.0,237.0,(25.7)%,(74.3)%,319.0
139,Anhui Haihui Shoes Co Ltd,"No 439 South Qingyun Road Economic Development Zone Suzhou Anhui234099",China,89,10.0,79.0,(11.2)%,(88.8)%,89.0
140,Anhui Huaheng Light Industry Co Ltd,Luodu Village Zhoutou Town Susong Country Anqing Anhui 246541,China,112,18.0,94.0,(16.1)%,(83.9)%,112.0
141,Anhui Lanlan Towel and Bedsheet Co Ltd,"Hometextile Industrial Park Economic Development Zone of Zongyang CountyTongling Anhui 246701",China,178,51.0,127.0,(28.7)%,(71.3)%,178.0
142,Anhui Shihong Intelligent Knitting Co Ltd,"168 Wutong Road Chizhou Economic and Technological Development ZoneChizhou Anhui 247099",China,134,28.0,106.0,(20.9)%,(79.1)%,134.0
143,Anhui Yao Shun Intelligent Socks Co Ltd,No 118 Meicheng Road Yaodu Town Dongzhi County Chizhou Anhui 247200,China,327,98.0,229.0,(30.0)%,(70.0)%,327.0
144,Anhui Yijun Garments Co Ltd,"Economic Development Zone (in the compound of Taihe Kerunge GarmentsCo Ltd) Taihe City Fuyang Anhui 236626",China,135,29.0,106.0,(21.5)%,(78.5)%,135.0
